0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
15072,138-1,2분,2020-06-03,17,5,16,17,7
15255,138-1,3분,2020-06-03,17,5,17,17,8
15082,138-1,4분,2020-06-03,17,5,19,17,9
15097,138-1,6분,2020-06-03,17,5,21,17,11
15284,138-1,7분,2020-06-03,17,5,22,17,12
15122,138-1,7분,2020-06-03,17,5,24,17,12
15118,138-1,9분,2020-06-03,17,5,25,17,14
15115,138-1,11분,2020-06-03,17,5,27,17,16
15113,138-1,12분,2020-06-03,17,5,29,17,17
5112,138-1,13분,2020-06-03,17,5,30,17,18
5146,138-1,14분,2020-06-03,17,5,32,17,19
5149,138-1,1분,2020-06-03,17,5,36,17,6
5150,138-1,2분,2020-06-03,17,5,38,17,7
5152,138-1,4분,2020-06-03,17,5,40,17,9
5154,138-1,5분,2020-06-03,17,5,41,17,10
5158,138-1,6분,2020-06-03,17,5,43,17,11
5193,138-1,8분,2020-06-03,17,5,44,17,13
5321,138-1,11분,2020-06-03,17,5,46,17,16
5277,138-1,1분,2020-06-03,17,5,47,17,6
5253,138-1,2분,2020-06-03,17,5,49,17,7
5257,138-1,4분,2020-06-03,17,5,50,17,9
5259,138-1,5분,2020-06-03,17,5,52,17,10
7034,138-1,7분,2020-06-03,17,5,53,17,12
7168,138-1,8분,2020-06-03,17,5,55,17,13
7035,138-1,9분,2020-06-03,17,5,56,17,14
7067,138-1,12분,2020-06-03,17,5,58,17,17
7043,138-1,12분,2020-06-03,17,5,59,17,17
5356,138-1,15분,2020-06-03,17,6,1,17,21
5358,138-1,3분,2020-06-03,17,6,4,17,9
5190,138-1,9분,2020-06-03,17,6,6,17,15
5192,138-1,11분,2020-06-03,17,6,7,17,17
5340,138-1,13분,2020-06-03,17,6,9,17,19
5155,138-1,14분,2020-06-03,17,6,11,17,20
5153,138-1,16분,2020-06-03,17,6,12,17,22
5292,138-1,17분,2020-06-03,17,6,14,17,23
5101,138-1,18분,2020-06-03,17,6,15,17,24
5102,138-1,18분,2020-06-03,17,6,17,17,24
5103,138-1,20분,2020-06-03,17,6,19,17,26
5104,138-1,21분,2020-06-03,17,6,20,17,27
5108,138-1,22분,2020-06-03,17,6,22,17,28
5110,138-1,23분,2020-06-03,17,6,23,17,29
15111,138-1,24분,2020-06-03,17,6,25,17,30
15117,138-1,1분,2020-06-03,17,6,26,17,7
15121,138-1,3분,2020-06-03,17,6,28,17,9
15283,138-1,3분,2020-06-03,17,6,30,17,9
15098,138-1,4분,2020-06-03,17,6,31,17,10
15081,138-1,5분,2020-06-03,17,6,33,17,11
15254,138-1,6분,2020-06-03,17,6,34,17,12
15073,138-1,10분,2020-06-03,17,6,36,17,16
15069,138-1,14분,2020-06-03,17,6,37,17,20
15085,138-1,16분,2020-06-03,17,6,39,17,22
15143,138-1,18분,2020-06-03,17,6,40,17,24
15072,138-1,1분,2020-06-03,17,6,42,17,7
15255,138-1,2분,2020-06-03,17,6,44,17,8
15082,138-1,3분,2020-06-03,17,6,45,17,9
15097,138-1,5분,2020-06-03,17,6,47,17,11
15284,138-1,6분,2020-06-03,17,6,49,17,12
15122,138-1,6분,2020-06-03,17,6,50,17,12
15118,138-1,9분,2020-06-03,17,6,52,17,15
15115,138-1,10분,2020-06-03,17,6,53,17,16
15113,138-1,11분,2020-06-03,17,6,55,17,17
5112,138-1,12분,2020-06-03,17,6,57,17,18
5146,138-1,13분,2020-06-03,17,6,58,17,19
5149,138-1,1분,2020-06-03,17,7,3,17,8
5150,138-1,2분,2020-06-03,17,7,5,17,9
5152,138-1,4분,2020-06-03,17,7,6,17,11
5154,138-1,4분,2020-06-03,17,7,8,17,11
5158,138-1,6분,2020-06-03,17,7,10,17,13
5193,138-1,8분,2020-06-03,17,7,11,17,15
5321,138-1,11분,2020-06-03,17,7,13,17,18
5277,138-1,1분,2020-06-03,17,7,15,17,8
5253,138-1,2분,2020-06-03,17,7,16,17,9
5257,138-1,4분,2020-06-03,17,7,18,17,11
5259,138-1,5분,2020-06-03,17,7,19,17,12
7034,138-1,7분,2020-06-03,17,7,21,17,14
7168,138-1,8분,2020-06-03,17,7,22,17,15
7035,138-1,9분,2020-06-03,17,7,24,17,16
7067,138-1,12분,2020-06-03,17,7,25,17,19
7043,138-1,12분,2020-06-03,17,7,27,17,19
5356,138-1,15분,2020-06-03,17,7,29,17,22
5357,138-1,16분,2020-06-03,17,7,30,17,23
5358,138-1,2분,2020-06-03,17,7,31,17,9
5190,138-1,9분,2020-06-03,17,7,33,17,16
5192,138-1,10분,2020-06-03,17,7,35,17,17
5340,138-1,13분,2020-06-03,17,7,36,17,20
5155,138-1,14분,2020-06-03,17,7,38,17,21
5153,138-1,16분,2020-06-03,17,7,39,17,23
5292,138-1,17분,2020-06-03,17,7,41,17,24
5101,138-1,18분,2020-06-03,17,7,42,17,25
5102,138-1,18분,2020-06-03,17,7,44,17,25
5103,138-1,20분,2020-06-03,17,7,46,17,27
5104,138-1,21분,2020-06-03,17,7,47,17,28
5108,138-1,22분,2020-06-03,17,7,49,17,29
