0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
5074,17,1분,2020-06-03,17,07,20
5302,17,1분,2020-06-03,17,07,21
5290,17,3분,2020-06-03,17,07,23
5236,17,1분,2020-06-03,17,07,25
5233,17,3분,2020-06-03,17,07,26
3002,17,2분,2020-06-03,17,07,29
3136,17,3분,2020-06-03,17,07,31
3107,17,2분,2020-06-03,17,07,32
3111,17,3분,2020-06-03,17,07,34
3099,17,3분,2020-06-03,17,07,36
3082,17,5분,2020-06-03,17,07,37
3054,17,7분,2020-06-03,17,07,39
1042,17,1분,2020-06-03,17,07,42
1056,17,3분,2020-06-03,17,07,44
1073,17,5분,2020-06-03,17,07,46
2091,17,6분,2020-06-03,17,07,47
2102,17,1분,2020-06-03,17,07,49
2109,17,2분,2020-06-03,17,07,50
2114,17,3분,2020-06-03,17,07,52
2122,17,4분,2020-06-03,17,07,53
2123,17,5분,2020-06-03,17,07,55
2124,17,6분,2020-06-03,17,07,57
1041,17,2분,2020-06-03,17,07,58
1032,17,2분,2020-06-03,17,08,00
3060,17,5분,2020-06-03,17,08,01
3120,17,1분,2020-06-03,17,08,05
3138,17,3분,2020-06-03,17,08,06
3175,17,4분,2020-06-03,17,08,08
3015,17,5분,2020-06-03,17,08,09
5227,17,2분,2020-06-03,17,08,11
5712,17,3분,2020-06-03,17,08,13
5710,17,4분,2020-06-03,17,08,14
5189,17,3분,2020-06-03,17,08,16
5192,17,5분,2020-06-03,17,08,17
5340,17,8분,2020-06-03,17,08,19
5155,17,8분,2020-06-03,17,08,21
5087,17,10분,2020-06-03,17,08,22
5084,17,13분,2020-06-03,17,08,24
5320,17,14분,2020-06-03,17,08,25
5008,17,14분,2020-06-03,17,08,27
5290,17,2분,2020-06-03,17,08,31
5236,17,1분,2020-06-03,17,08,33
5233,17,2분,2020-06-03,17,08,34
5228,17,5분,2020-06-03,17,08,36
3002,17,1분,2020-06-03,17,08,37
3136,17,3분,2020-06-03,17,08,39
3107,17,5분,2020-06-03,17,08,40
3111,17,1분,2020-06-03,17,08,42
3099,17,1분,2020-06-03,17,08,43
3082,17,4분,2020-06-03,17,08,45
3054,17,6분,2020-06-03,17,08,46
1031,17,7분,2020-06-03,17,08,48
1056,17,1분,2020-06-03,17,08,51
1073,17,3분,2020-06-03,17,08,53
2091,17,5분,2020-06-03,17,08,55
2102,17,7분,2020-06-03,17,08,56
2109,17,1분,2020-06-03,17,08,58
2114,17,2분,2020-06-03,17,08,59
2122,17,3분,2020-06-03,17,09,01
2123,17,3분,2020-06-03,17,09,02
2124,17,4분,2020-06-03,17,09,04
1041,17,1분,2020-06-03,17,09,06
1032,17,1분,2020-06-03,17,09,07
3060,17,4분,2020-06-03,17,09,09
3095,17,8분,2020-06-03,17,09,11
3138,17,2분,2020-06-03,17,09,14
3175,17,4분,2020-06-03,17,09,16
3015,17,5분,2020-06-03,17,09,17
5227,17,2분,2020-06-03,17,09,19
5712,17,3분,2020-06-03,17,09,20
5710,17,4분,2020-06-03,17,09,22
5189,17,2분,2020-06-03,17,09,24
5192,17,4분,2020-06-03,17,09,25
5340,17,7분,2020-06-03,17,09,27
5155,17,7분,2020-06-03,17,09,29
5087,17,9분,2020-06-03,17,09,30
5084,17,11분,2020-06-03,17,09,32
5320,17,13분,2020-06-03,17,09,33
5008,17,13분,2020-06-03,17,09,35
5074,17,14분,2020-06-03,17,09,36
5302,17,14분,2020-06-03,17,09,38
5290,17,1분,2020-06-03,17,09,39
5233,17,2분,2020-06-03,17,09,42
5228,17,4분,2020-06-03,17,09,44
3136,17,1분,2020-06-03,17,09,47
3107,17,3분,2020-06-03,17,09,48
3111,17,4분,2020-06-03,17,09,50
3082,17,3분,2020-06-03,17,09,53
3054,17,5분,2020-06-03,17,09,55
1031,17,6분,2020-06-03,17,09,56
1042,17,7분,2020-06-03,17,09,58
1056,17,1분,2020-06-03,17,10,00
1073,17,3분,2020-06-03,17,10,01
2091,17,4분,2020-06-03,17,10,03
2102,17,6분,2020-06-03,17,10,04
2109,17,1분,2020-06-03,17,10,06
2114,17,2분,2020-06-03,17,10,07
2122,17,3분,2020-06-03,17,10,09
2123,17,3분,2020-06-03,17,10,10
2124,17,4분,2020-06-03,17,10,12
1041,17,6분,2020-06-03,17,10,13
3060,17,3분,2020-06-03,17,10,17
3095,17,7분,2020-06-03,17,10,18
3138,17,2분,2020-06-03,17,10,21
3175,17,3분,2020-06-03,17,10,23
3015,17,4분,2020-06-03,17,10,25
5227,17,1분,2020-06-03,17,10,26
5712,17,2분,2020-06-03,17,10,28
5710,17,3분,2020-06-03,17,10,29
5189,17,1분,2020-06-03,17,10,31
5192,17,3분,2020-06-03,17,10,33
5340,17,5분,2020-06-03,17,10,34
5155,17,6분,2020-06-03,17,10,36
5087,17,8분,2020-06-03,17,10,37
5084,17,10분,2020-06-03,17,10,39
5320,17,12분,2020-06-03,17,10,40
5008,17,12분,2020-06-03,17,10,42
5074,17,13분,2020-06-03,17,10,43
5302,17,13분,2020-06-03,17,10,45
5236,17,6분,2020-06-03,17,10,48
5233,17,1분,2020-06-03,17,10,49
5228,17,4분,2020-06-03,17,10,51
3002,17,6분,2020-06-03,17,10,53
3107,17,3분,2020-06-03,17,10,56
3111,17,4분,2020-06-03,17,10,57
3099,17,4분,2020-06-03,17,10,59
3082,17,2분,2020-06-03,17,11,00
3054,17,4분,2020-06-03,17,11,02
1031,17,6분,2020-06-03,17,11,03
1042,17,7분,2020-06-03,17,11,05
1056,17,8분,2020-06-03,17,11,07
1073,17,1분,2020-06-03,17,11,08
2091,17,3분,2020-06-03,17,11,10
2102,17,5분,2020-06-03,17,11,11
2109,17,6분,2020-06-03,17,11,13
2122,17,1분,2020-06-03,17,11,16
2123,17,2분,2020-06-03,17,11,18
2124,17,3분,2020-06-03,17,11,19
1041,17,5분,2020-06-03,17,11,21
1032,17,5분,2020-06-03,17,11,22
3060,17,2분,2020-06-03,17,11,24
3095,17,6분,2020-06-03,17,11,26
3120,17,7분,2020-06-03,17,11,28
3138,17,1분,2020-06-03,17,11,30
3175,17,2분,2020-06-03,17,11,31
3015,17,3분,2020-06-03,17,11,33
5227,17,1분,2020-06-03,17,11,34
5712,17,2분,2020-06-03,17,11,36
5710,17,3분,2020-06-03,17,11,38
5189,17,1분,2020-06-03,17,11,40
5192,17,3분,2020-06-03,17,11,41
5340,17,5분,2020-06-03,17,11,43
5155,17,6분,2020-06-03,17,11,45
5087,17,8분,2020-06-03,17,11,47
5084,17,10분,2020-06-03,17,11,49
5320,17,12분,2020-06-03,17,11,50
5008,17,12분,2020-06-03,17,11,52
5074,17,13분,2020-06-03,17,11,54
5302,17,13분,2020-06-03,17,11,55
5290,17,15분,2020-06-03,17,11,57
5236,17,6분,2020-06-03,17,11,59
5233,17,8분,2020-06-03,17,12,00
5228,17,1분,2020-06-03,17,12,02
3002,17,3분,2020-06-03,17,12,03
3107,17,2분,2020-06-03,17,12,07
3111,17,3분,2020-06-03,17,12,08
3099,17,4분,2020-06-03,17,12,10
3082,17,2분,2020-06-03,17,12,12
3054,17,4분,2020-06-03,17,12,13
1031,17,5분,2020-06-03,17,12,15
1042,17,7분,2020-06-03,17,12,17
1056,17,8분,2020-06-03,17,12,18
1073,17,1분,2020-06-03,17,12,20
2091,17,2분,2020-06-03,17,12,22
2102,17,4분,2020-06-03,17,12,23
