0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
15176,68,3분,2020-06-03,17,10,30
15216,68,4분,2020-06-03,17,10,32
15188,68,1분,2020-06-03,17,10,33
15201,68,2분,2020-06-03,17,10,35
15198,68,3분,2020-06-03,17,10,37
10075,68,5분,2020-06-03,17,10,38
10084,68,1분,2020-06-03,17,10,42
10232,68,2분,2020-06-03,17,10,43
10078,68,3분,2020-06-03,17,10,47
10081,68,3분,2020-06-03,17,10,48
10087,68,4분,2020-06-03,17,10,50
10092,68,5분,2020-06-03,17,10,52
10093,68,6분,2020-06-03,17,10,53
15199,68,2분,2020-06-03,17,10,55
15200,68,4분,2020-06-03,17,10,57
15189,68,4분,2020-06-03,17,10,58
15196,68,5분,2020-06-03,17,11,00
15186,68,6분,2020-06-03,17,11,01
15174,68,1분,2020-06-03,17,11,05
15168,68,2분,2020-06-03,17,11,06
15165,68,3분,2020-06-03,17,11,08
15164,68,4분,2020-06-03,17,11,09
15152,68,1분,2020-06-03,17,11,12
15124,68,3분,2020-06-03,17,11,14
15115,68,2분,2020-06-03,17,11,17
15113,68,3분,2020-06-03,17,11,19
5112,68,4분,2020-06-03,17,11,20
5343,68,5분,2020-06-03,17,11,22
5144,68,5분,2020-06-03,17,11,23
5006,68,2분,2020-06-03,17,11,27
5195,68,1분,2020-06-03,17,11,30
5319,68,4분,2020-06-03,17,11,32
5236,68,5분,2020-06-03,17,11,33
5234,68,1분,2020-06-03,17,11,35
5230,68,2분,2020-06-03,17,11,36
5215,68,4분,2020-06-03,17,11,38
3149,68,6분,2020-06-03,17,11,40
7079,68,1분,2020-06-03,17,11,42
7045,68,3분,2020-06-03,17,11,43
3145,68,2분,2020-06-03,17,11,45
3150,68,2분,2020-06-03,17,11,47
5221,68,3분,2020-06-03,17,11,48
5227,68,4분,2020-06-03,17,11,50
5712,68,6분,2020-06-03,17,11,51
5710,68,7분,2020-06-03,17,11,53
5190,68,2분,2020-06-03,17,11,55
5194,68,4분,2020-06-03,17,11,57
5268,68,5분,2020-06-03,17,11,59
5069,68,1분,2020-06-03,17,12,01
5109,68,3분,2020-06-03,17,12,02
5283,68,4분,2020-06-03,17,12,04
5345,68,1분,2020-06-03,17,12,06
5110,68,2분,2020-06-03,17,12,07
15111,68,3분,2020-06-03,17,12,09
15116,68,4분,2020-06-03,17,12,11
15125,68,1분,2020-06-03,17,12,13
15151,68,2분,2020-06-03,17,12,14
15153,68,3분,2020-06-03,17,12,16
15163,68,5분,2020-06-03,17,12,18
15166,68,1분,2020-06-03,17,12,19
15167,68,2분,2020-06-03,17,12,21
15173,68,1분,2020-06-03,17,12,23
15176,68,2분,2020-06-03,17,12,24
15216,68,3분,2020-06-03,17,12,26
15188,68,4분,2020-06-03,17,12,28
15201,68,5분,2020-06-03,17,12,30
15198,68,1분,2020-06-03,17,12,31
10075,68,2분,2020-06-03,17,12,33
10088,68,4분,2020-06-03,17,12,35
10232,68,2분,2020-06-03,17,12,39
10078,68,3분,2020-06-03,17,12,42
10081,68,3분,2020-06-03,17,12,44
10087,68,4분,2020-06-03,17,12,46
10092,68,5분,2020-06-03,17,12,47
10093,68,6분,2020-06-03,17,12,49
15199,68,2분,2020-06-03,17,12,51
15200,68,3분,2020-06-03,17,12,52
15189,68,4분,2020-06-03,17,12,54
15196,68,5분,2020-06-03,17,12,56
15186,68,6분,2020-06-03,17,12,58
15175,68,5분,2020-06-03,17,12,59
15174,68,6분,2020-06-03,17,13,01
15168,68,1분,2020-06-03,17,13,03
15165,68,2분,2020-06-03,17,13,05
15164,68,3분,2020-06-03,17,13,06
15154,68,4분,2020-06-03,17,13,08
15124,68,2분,2020-06-03,17,13,11
15118,68,3분,2020-06-03,17,13,13
15113,68,1분,2020-06-03,17,13,16
5112,68,2분,2020-06-03,17,13,18
5343,68,3분,2020-06-03,17,13,19
5144,68,4분,2020-06-03,17,13,21
5060,68,6분,2020-06-03,17,13,23
5269,68,2분,2020-06-03,17,13,26
5195,68,3분,2020-06-03,17,13,28
5319,68,2분,2020-06-03,17,13,30
5236,68,3분,2020-06-03,17,13,31
5234,68,4분,2020-06-03,17,13,33
5230,68,1분,2020-06-03,17,13,35
5215,68,3분,2020-06-03,17,13,36
3149,68,4분,2020-06-03,17,13,38
7079,68,6분,2020-06-03,17,13,40
7045,68,1분,2020-06-03,17,13,41
3145,68,3분,2020-06-03,17,13,43
5221,68,2분,2020-06-03,17,13,46
5227,68,3분,2020-06-03,17,13,47
5712,68,4분,2020-06-03,17,13,49
5710,68,5분,2020-06-03,17,13,50
5190,68,2분,2020-06-03,17,13,52
5194,68,4분,2020-06-03,17,13,54
