0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
7168,138-1,8분,2020-06-03,17,05,55
7035,138-1,9분,2020-06-03,17,05,56
7067,138-1,12분,2020-06-03,17,05,58
7043,138-1,12분,2020-06-03,17,05,59
5356,138-1,15분,2020-06-03,17,06,01
5358,138-1,3분,2020-06-03,17,06,04
5190,138-1,9분,2020-06-03,17,06,06
5192,138-1,11분,2020-06-03,17,06,07
5340,138-1,13분,2020-06-03,17,06,09
5155,138-1,14분,2020-06-03,17,06,11
5153,138-1,16분,2020-06-03,17,06,12
5292,138-1,17분,2020-06-03,17,06,14
5101,138-1,18분,2020-06-03,17,06,15
5102,138-1,18분,2020-06-03,17,06,17
5103,138-1,20분,2020-06-03,17,06,19
5104,138-1,21분,2020-06-03,17,06,20
5108,138-1,22분,2020-06-03,17,06,22
5110,138-1,23분,2020-06-03,17,06,23
15111,138-1,24분,2020-06-03,17,06,25
15117,138-1,1분,2020-06-03,17,06,26
15121,138-1,3분,2020-06-03,17,06,28
15283,138-1,3분,2020-06-03,17,06,30
15098,138-1,4분,2020-06-03,17,06,31
15081,138-1,5분,2020-06-03,17,06,33
15254,138-1,6분,2020-06-03,17,06,34
15073,138-1,10분,2020-06-03,17,06,36
15069,138-1,14분,2020-06-03,17,06,37
15085,138-1,16분,2020-06-03,17,06,39
15143,138-1,18분,2020-06-03,17,06,40
15072,138-1,1분,2020-06-03,17,06,42
15255,138-1,2분,2020-06-03,17,06,44
15082,138-1,3분,2020-06-03,17,06,45
15097,138-1,5분,2020-06-03,17,06,47
15284,138-1,6분,2020-06-03,17,06,49
15122,138-1,6분,2020-06-03,17,06,50
15118,138-1,9분,2020-06-03,17,06,52
15115,138-1,10분,2020-06-03,17,06,53
15113,138-1,11분,2020-06-03,17,06,55
5112,138-1,12분,2020-06-03,17,06,57
5146,138-1,13분,2020-06-03,17,06,58
5149,138-1,1분,2020-06-03,17,07,03
5150,138-1,2분,2020-06-03,17,07,05
5152,138-1,4분,2020-06-03,17,07,06
5154,138-1,4분,2020-06-03,17,07,08
5158,138-1,6분,2020-06-03,17,07,10
